"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"05/22/1981","42","Ozone","","06-113-1002","AQS"
"05/23/1981","39","Ozone","","06-113-1002","AQS"
"05/24/1981","33","Ozone","","06-113-1002","AQS"
"05/25/1981","23","Ozone","","06-113-1002","AQS"
"05/26/1981","32","Ozone","","06-113-1002","AQS"
"05/27/1981","39","Ozone","","06-113-1002","AQS"
"05/28/1981","84","Ozone","","06-113-1002","AQS"
"05/29/1981","71","Ozone","","06-113-1002","AQS"
"05/30/1981","84","Ozone","","06-113-1002","AQS"
"05/31/1981","58","Ozone","","06-113-1002","AQS"
"06/01/1981","49","Ozone","","06-113-1002","AQS"
"06/02/1981","58","Ozone","","06-113-1002","AQS"
"06/03/1981","46","Ozone","","06-113-1002","AQS"
"06/04/1981","37","Ozone","","06-113-1002","AQS"
"06/05/1981","67","Ozone","","06-113-1002","AQS"
"06/06/1981","58","Ozone","","06-113-1002","AQS"
"06/07/1981","25","Ozone","","06-113-1002","AQS"
"06/08/1981","3","CO","","06-113-1002","AQS"
"06/09/1981","67","Ozone","","06-113-1002","AQS"
"06/10/1981","93","Ozone","","06-113-1002","AQS"
"06/11/1981","42","Ozone","","06-113-1002","AQS"
"06/12/1981","44","Ozone","","06-113-1002","AQS"
"06/13/1981","35","Ozone","","06-113-1002","AQS"
